trade_date,gate_bull,gate_bear,alpha_proxy,gate_bull_smooth,gate_bear_smooth
2025-09-15,0.6012000000000001,0.3988,0.46812121212121216,0.6012000000000001,0.39879999999999993
2025-09-16,0.6477999999999999,0.3522,0.5331239669421488,0.6167333333333334,0.38326666666666664
2025-09-17,0.6512,0.3488,0.5371900826446281,0.6282222222222222,0.37177777777777776
2025-09-18,0.6541,0.3459,0.5405206611570248,0.6368481481481482,0.36315185185185184
2025-09-19,0.6436,0.3564,0.5442314049586777,0.6390987654320988,0.36090123456790124
2025-09-22,0.6567000000000001,0.3433,0.5594545454545454,0.6449658436213992,0.3550341563786008
2025-09-23,0.6652,0.3348,0.5627603305785124,0.6517105624142662,0.34828943758573383
2025-09-24,0.6701,0.32989999999999997,0.561900826446281,0.6578403749428442,0.3421596250571558
2025-09-25,0.6614000000000001,0.3386,0.5571322314049587,0.6590269166285628,0.34097308337143717
2025-09-26,0.655,0.34500000000000003,0.5725454545454546,0.6576846110857086,0.34231538891429136
2025-09-29,0.6546000000000001,0.34540000000000004,0.5717355371900827,0.6566564073904725,0.3433435926095275
2025-09-30,0.652,0.348,0.5652727272727273,0.6551042715936484,0.34489572840635163
2025-10-09,0.6517000000000001,0.3483,0.5643305785123968,0.6539695143957657,0.34603048560423433
2025-10-10,0.6277,0.37229999999999996,0.5654710743801653,0.6452130095971772,0.3547869904028228
2025-10-13,0.6413,0.3587,0.5733388429752067,0.6439086730647848,0.35609132693521517
2025-10-14,0.616,0.384,0.5596363636363637,0.63460578204319,0.36539421795681004
2025-10-15,0.6037,0.3963,0.5507438016528925,0.62430385469546,0.37569614530454
2025-10-16,0.5858,0.4142,0.5253884297520661,0.61146923646364,0.38853076353635996
2025-10-17,0.5814,0.41859999999999997,0.5277024793388431,0.6014461576424267,0.3985538423575733
2025-10-20,0.5616,0.4384,0.5133388429752066,0.5881641050949512,0.4118358949050488
2025-10-21,0.5938,0.4062,0.5312231404958678,0.5900427367299675,0.40995726327003246
2025-10-22,0.5854,0.41459999999999997,0.5310909090909091,0.5884951578199784,0.4115048421800216
2025-10-23,0.5849,0.41509999999999997,0.5323801652892561,0.5872967718799856,0.41270322812001436
2025-10-24,0.6334,0.3666,0.5400826446280992,0.6026645145866572,0.39733548541334285
